Questions,Category,text,label
Explain functional units of computer.,BT1,explain functional units of computer.,0
What are the mathematical operations that can be performed on SET Abstract Data Type?,BT1,what are the mathematical operations that can be performed on set abstract data type?,0
Evaluate the following forms of LISP.,BT4,evaluate the following forms of lisp.,3
Retell the steps to implement a random forest classifier using bootstrapping and feature bagging?,BT1,retell the steps to implement a random forest classifier using bootstrapping and feature bagging?,0
Select the relevant data points for a trend analysis.,BT4,select the relevant data points for a trend analysis.,3
Explain composite masonry.,BT2,explain composite masonry.,1
"You are developing a disaster recovery plan for a financial institution to ensure business continuity in the event of a cyberattack or natural disaster. Create a disaster recovery plan that includes risk assessments, backup and recovery procedures, communication protocols, and testing methodologies for validating the effectiveness of the plan in mitigating downtime and data loss.",BT6,"you are developing a disaster recovery plan for a financial institution to ensure business continuity in the event of a cyberattack or natural disaster. create a disaster recovery plan that includes risk assessments, backup and recovery procedures, communication protocols, and testing methodologies for validating the effectiveness of the plan in mitigating downtime and data loss.",5
Define the different categories of risks?,BT1,define the different categories of risks?,0
Demonstrate the correct usage of the SI units in a scientific calculation.,BT3,demonstrate the correct usage of the si units in a scientific calculation.,2
Explain the working principle of McLeod low pressure vacuum gauge. With neat sketch.,BT1,explain the working principle of mcleod low pressure vacuum gauge. with neat sketch.,0
Explain the function of 78XX and 79XX voltage regulator.,BT2,explain the function of 78xx and 79xx voltage regulator.,1
How would you develop a new software tool for data visualization and analysis?,BT6,how would you develop a new software tool for data visualization and analysis?,5
How can you use knowledge from economics and environmental science to develop sustainable solutions?,BT6,how can you use knowledge from economics and environmental science to develop sustainable solutions?,5
Ethylene Oxide is produce from oxidation of ethylene.,BT1,ethylene oxide is produce from oxidation of ethylene.,0
Propose a novel method for incorporating recycled materials into concrete mixtures to improve the sustainability of construction projects.,BT6,propose a novel method for incorporating recycled materials into concrete mixtures to improve the sustainability of construction projects.,5
Sketch a typical absorption process in a packed column with regeneration in form of,BT3,sketch a typical absorption process in a packed column with regeneration in form of,2
Show how to calculate the volume of a cylinder.,BT3,show how to calculate the volume of a cylinder.,2
Explain in your own words what a recessive gene is.,BT2,explain in your own words what a recessive gene is.,1
Evaluate the evidence supporting the use of composite materials for lightweighting in automotive engineering.,BT3,evaluate the evidence supporting the use of composite materials for lightweighting in automotive engineering.,2
What is Koch curve?,BT1,what is koch curve?,0
Explain any three operations on sequential file organization with example.,BT1,explain any three operations on sequential file organization with example.,0
Explain functioning of LM 317 as a voltage regulator.,BT1,explain functioning of lm 317 as a voltage regulator.,0
What hypotheses would you formulate for a biology experiment?,BT6,what hypotheses would you formulate for a biology experiment?,5
Grade the quality of customer service received.,BT5,grade the quality of customer service received.,4
Draw a diagram to illustrate the Edman degradation reaction in protein sequencing. ,BT2,draw a diagram to illustrate the edman degradation reaction in protein sequencing.,1
Explain the representation of polynomial using GLL.,BT4,explain the representation of polynomial using gll.,3
"In a table form, state the advantages and disadvantages of X-ray crystallography and nuclear magnetic resonance in elucidating the three dimensional structure of proteins. ",BT2,"in a table form, state the advantages and disadvantages of x-ray crystallography and nuclear magnetic resonance in elucidating the three dimensional structure of proteins.",1
"A computer while calculating carrelation coefficient between two variables X and Y from 25 pairs of observations obtained the following results : n = 25, X 125,ï¥ï½  2X 650,ï¥ï½  Y1 0 0 ,ï¥ï½  2Y 460,ï¥ï½  XY 508.ï¥ï½ Later it was discovered that the values (X, Y) = (8, 12) was copied as (6, 14) and the value (8, 6) was copied as (6, 8). Obtain the correct value of the correlation coefficient.",BT3,"a computer while calculating carrelation coefficient between two variables x and y from 25 pairs of observations obtained the following results : n = 25, x 125,ï¥ï½  2x 650,ï¥ï½  y1 0 0 ,ï¥ï½  2y 460,ï¥ï½  xy 508.ï¥ï½ later it was discovered that the values (x, y) = (8, 12) was copied as (6, 14) and the value (8, 6) was copied as (6, 8). obtain the correct value of the correlation coefficient.",2
Explain the terms.,BT2,explain the terms.,1
Draw neat diagram and explain operation of 3 pt. Starter?,BT1,draw neat diagram and explain operation of 3 pt. starter?,0
Enlist the intermediates of glycolysis.,BT1,enlist the intermediates of glycolysis.,0
Classify solid insulating materials according to the temperature ranges. Hence write properties and applications of any two materials from ClassA type.,BT1,classify solid insulating materials according to the temperature ranges. hence write properties and applications of any two materials from classa type.,0
Define multithreading?,BT1,define multithreading?,0
"Compare the features and performance of different antenna types (e.g., dipole, Yagi-Uda, patch) in terms of radiation pattern and gain.",BT4,"compare the features and performance of different antenna types (e.g., dipole, yagi-uda, patch) in terms of radiation pattern and gain.",3
Recognize the syntax for defining a traffic signal timing plan?,BT1,recognize the syntax for defining a traffic signal timing plan?,0
Infer the potential causes of the sudden market drop.,BT2,infer the potential causes of the sudden market drop.,1
Can you invent a new method for harnessing geothermal energy for heating and cooling?,BT6,can you invent a new method for harnessing geothermal energy for heating and cooling?,5
Devise a new technique for unsupervised domain adaptation in machine learning models to improve model generalization across different target domains.,BT6,devise a new technique for unsupervised domain adaptation in machine learning models to improve model generalization across different target domains.,5
Discuss the significance of topological sorting.,BT1,discuss the significance of topological sorting.,0
"How would you define the term ""sustainability""?",BT1,how would you define the term sustainability?,0
Use residue theorem to evaluate  (1 ) (2 )z Cedzzzï«ï«ï²ïwhere C is the contour |z + 1| = 1 2.,BT3,use residue theorem to evaluate  (1 ) (2 )z cedzzzï«ï«ï²ïwhere c is the contour |z + 1| = 1 2.,2
Draw block diagram and explain any one application of IC PLL 565 in detail.,BT3,draw block diagram and explain any one application of ic pll 565 in detail.,2
In what ways can you contrast those two theories?,BT2,in what ways can you contrast those two theories?,1
Conduct an investigation to produce information to support a view.,BT4,conduct an investigation to produce information to support a view.,3
Assess the efficiency of regenerative braking systems in hybrid electric vehicles for energy recovery.,BT5,assess the efficiency of regenerative braking systems in hybrid electric vehicles for energy recovery.,4
"Find the directional derivative of xy yz xzÏ=++  at (1, 1, 1) along line 111 212x yz âââ== .",BT3,"find the directional derivative of xy yz xzï=++  at (1, 1, 1) along line 111 212x yz âââ== .",2
Model the spread of information in a social network.,BT3,model the spread of information in a social network.,2
State your opinion on whether financial reporting system is more important than management reporting system and the appropriateness of placing more emphasis on producing non-discretionary financial reports. Provide arguments to support. ,BT2,state your opinion on whether financial reporting system is more important than management reporting system and the appropriateness of placing more emphasis on producing non-discretionary financial reports. provide arguments to support.,1
Evaluate Ë.,BT5,evaluate ë.,4
Explain Vacuum forming in Plastics.,BT1,explain vacuum forming in plastics.,0
State the various types of non-destructive tests carried on hardened concrete. Explain ultrasonic pulse velocity test with its limitations.,BT1,state the various types of non-destructive tests carried on hardened concrete. explain ultrasonic pulse velocity test with its limitations.,0
Grade the performance of a customer service chatbot.,BT5,grade the performance of a customer service chatbot.,4
How can you relate knowledge from art history and psychology to understand artistic expression?,BT6,how can you relate knowledge from art history and psychology to understand artistic expression?,5
Plan a disaster recovery strategy for restoring communication networks in the aftermath of natural disasters such as earthquakes or hurricanes.,BT6,plan a disaster recovery strategy for restoring communication networks in the aftermath of natural disasters such as earthquakes or hurricanes.,5
Define polymorphism?,BT1,define polymorphism?,0
List the major forces acting on the concrete body of the dam excluding earthquake and wind forces. ,BT2,list the major forces acting on the concrete body of the dam excluding earthquake and wind forces.,1
Explain full wave centre tapped rectifier supplying resistive load with circuit diagram and waveforms.,BT2,explain full wave centre tapped rectifier supplying resistive load with circuit diagram and waveforms.,1
What are different Process management system calls in Linux.,BT1,what are different process management system calls in linux.,0
"Your company is developing a waste management plan for a construction project to minimize environmental impacts and comply with regulatory requirements. Compare the waste reduction strategies (e.g., source reduction, recycling, waste-to-energy conversion) and recommend measures for optimizing waste management practices and reducing construction waste generation.",BT4,"your company is developing a waste management plan for a construction project to minimize environmental impacts and comply with regulatory requirements. compare the waste reduction strategies (e.g., source reduction, recycling, waste-to-energy conversion) and recommend measures for optimizing waste management practices and reducing construction waste generation.",3
What do you mean by Earned Value Analysis?,BT1,what do you mean by earned value analysis?,0
Explain the applications of Bezier curves in robot path planning.,BT1,explain the applications of bezier curves in robot path planning.,0
Translate your knowledge of art history to analyze this painting.,BT2,translate your knowledge of art history to analyze this painting.,1
Compare the architectural styles of two historical periods and contrast their characteristics.,BT2,compare the architectural styles of two historical periods and contrast their characteristics.,1
Suppose you are designing a wastewater treatment plant for a growing urban area. Discuss how you would apply environmental engineering principles and treatment process selection criteria to ensure compliance with effluent quality standards and protect water resources.,BT3,suppose you are designing a wastewater treatment plant for a growing urban area. discuss how you would apply environmental engineering principles and treatment process selection criteria to ensure compliance with effluent quality standards and protect water resources.,2
Describe the feeling of anticipation.,BT2,describe the feeling of anticipation.,1
Can you identify the types of energy transformations in a car engine?,BT1,can you identify the types of energy transformations in a car engine?,0
Assuming that this monopolist is regulated to produce at that quantity where price equals average total cost. Calculate and find out what is the quantity the monopolist will produce and the price it will charge given this regulatory scenario.,BT3,assuming that this monopolist is regulated to produce at that quantity where price equals average total cost. calculate and find out what is the quantity the monopolist will produce and the price it will charge given this regulatory scenario.,2
"Assess the efficiency of smart materials (e.g., shape memory alloys) in actuator applications for adaptive structures.",BT5,"assess the efficiency of smart materials (e.g., shape memory alloys) in actuator applications for adaptive structures.",4
Tabulate the differences between laminar and turbulent flow in fluid dynamics?,BT1,tabulate the differences between laminar and turbulent flow in fluid dynamics?,0
Devise a system for monitoring and mitigating soil liquefaction in earthquake-prone areas using ground improvement techniques and early warning systems.,BT6,devise a system for monitoring and mitigating soil liquefaction in earthquake-prone areas using ground improvement techniques and early warning systems.,5
State any six properties of fourier transform.,BT1,state any six properties of fourier transform.,0
Name the event that led to the start of the American Civil War.,BT1,name the event that led to the start of the american civil war.,0
Recite the opening lines of your favorite poem.,BT1,recite the opening lines of your favorite poem.,0
How would you classify the different types of communication styles?,BT4,how would you classify the different types of communication styles?,3
Select the relevant data points for a multivariate analysis.,BT4,select the relevant data points for a multivariate analysis.,3
Give detail classification of measuring instruments.,BT1,give detail classification of measuring instruments.,0
An emf 200 V is in series with a.,BT3,an emf 200 v is in series with a.,2
Define BCNF.,BT1,define bcnf.,0
Discuss concrete vibrators and compaction equipments.,BT2,discuss concrete vibrators and compaction equipments.,1
Tabulate the results of a survey you recently conducted.,BT1,tabulate the results of a survey you recently conducted.,0
The initial tension in a flat belt drive is 1800N.,BT3,the initial tension in a flat belt drive is 1800n.,2
"Evaluate the effectiveness of different slope stabilization methods (e.g., retaining walls, soil nails, vegetation) in preventing soil erosion and landslides.",BT4,"evaluate the effectiveness of different slope stabilization methods (e.g., retaining walls, soil nails, vegetation) in preventing soil erosion and landslides.",3
Recite the the Gaussian law,BT1,recite the the gaussian law,0
Draw the energy band diagram of an intrinsic Si and label the band gap energy. ,BT2,draw the energy band diagram of an intrinsic si and label the band gap energy.,1
Draw and Explain the Architecture of a Typical Microcontroller.,BT3,draw and explain the architecture of a typical microcontroller.,2
Tell me about your career goals.,BT1,tell me about your career goals.,0
"Discuss the principles of secure coding practices, explaining techniques for preventing common vulnerabilities such as SQL injection and cross-site scripting.",BT2,"discuss the principles of secure coding practices, explaining techniques for preventing common vulnerabilities such as sql injection and cross-site scripting.",1
What steps are involved in composing a captivating blog post?,BT6,what steps are involved in composing a captivating blog post?,5
Explain how nodes can be remove in tail reference using example.,BT5,explain how nodes can be remove in tail reference using example.,4
Write an algorithm for DFS State the time complexity of the algorithm.,BT1,write an algorithm for dfs state the time complexity of the algorithm.,0
Recall the characteristics of a Z-transform in digital signal processing?,BT1,recall the characteristics of a z-transform in digital signal processing?,0
Calculate first four moments about the mean of the following distribution.,BT3,calculate first four moments about the mean of the following distribution.,2
Explain the solidification of pure metal.,BT2,explain the solidification of pure metal.,1
Can you explain what must have happened when . . .?,BT4,can you explain what must have happened when . . .?,3
List FOUR conditions required in order for an animal population to remain at Hardy-Weinberg equilibrium.,BT1,list four conditions required in order for an animal population to remain at hardy-weinberg equilibrium.,0
Draw and explain the block diagram of digital control system.,BT2,draw and explain the block diagram of digital control system.,1
A committee including 3 boys and 4 girls is to be formed from a group of 10 boys and 12 girls.,BT1,a committee including 3 boys and 4 girls is to be formed from a group of 10 boys and 12 girls.,0
Differentiate between Relation and functions.,BT4,differentiate between relation and functions.,3
Draw and explain Cluster and Cluster Architectures.,BT4,draw and explain cluster and cluster architectures.,3
Explain various debugging feature of 80386.,BT2,explain various debugging feature of 80386.,1
Evaluate the potential risks and benefits of using biometric authentication systems for access control in sensitive environments.,BT3,evaluate the potential risks and benefits of using biometric authentication systems for access control in sensitive environments.,2
The scope of institutional shareholder activism includes attempts made to bring about changes in a company's behavior for adoption of good governance practices. Differentiate shareholder resolution and proxy voting as the two major tools for institutional shareholder to promote corporate governance. ,BT4,the scope of institutional shareholder activism includes attempts made to bring about changes in a company's behavior for adoption of good governance practices. differentiate shareholder resolution and proxy voting as the two major tools for institutional shareholder to promote corporate governance.,3
Draw single circular linked list with 5 nodes.,BT1,draw single circular linked list with 5 nodes.,0
What is unconformity and Describe various types of unconformities.,BT2,what is unconformity and describe various types of unconformities.,1
Explain the THREE (3) processes of forming a public opinion. Provide your answers with an example for each process. ,BT2,explain the three (3) processes of forming a public opinion. provide your answers with an example for each process.,1
Demonstrate the steps to solve a quadratic equation.,BT3,demonstrate the steps to solve a quadratic equation.,2
How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,BT4,how are the adolescents with asd similar of different from each other in their sources of communication breakdowns ?,3
Identify FIVE (5) points on how social media can be utilized by the organization during a crisis. Elaborate your answers with explanation for each point. ,BT2,identify five (5) points on how social media can be utilized by the organization during a crisis. elaborate your answers with explanation for each point.,1
Compare index sequential file and direct access file.,BT4,compare index sequential file and direct access file.,3
Describe the process of cellular respiration in detail.,BT1,describe the process of cellular respiration in detail.,0
How do you create an engaging user interface for a language learning app?,BT6,how do you create an engaging user interface for a language learning app?,5
Construct a Venn diagram to determine the validity of the given argument.,BT3,construct a venn diagram to determine the validity of the given argument.,2
Grasp the meaning behind the allegory in this story.,BT2,grasp the meaning behind the allegory in this story.,1
What is the difference between traffic shaping and congestion control at transport layer?,BT4,what is the difference between traffic shaping and congestion control at transport layer?,3
Solve the physics problem involving projectile motion.,BT3,solve the physics problem involving projectile motion.,2
Explain on global and local approach in coordinating and controlling the international advertising.,BT2,explain on global and local approach in coordinating and controlling the international advertising.,1
You are developing a satellite communication link for remote monitoring of offshore oil rigs. Discuss how you would apply error correction coding and modulation schemes to ensure reliable data transmission over long distances.,BT3,you are developing a satellite communication link for remote monitoring of offshore oil rigs. discuss how you would apply error correction coding and modulation schemes to ensure reliable data transmission over long distances.,2
Outline the stages of a software development process for mobile apps.,BT4,outline the stages of a software development process for mobile apps.,3
Explain in brief the exposure time calculation method for screen stencil making process.,BT1,explain in brief the exposure time calculation method for screen stencil making process.,0
Write a short note on control system and electronics.,BT1,write a short note on control system and electronics.,0
Describe FIVE (5) limitations of small size construction firms in Malaysia. ,BT2,describe five (5) limitations of small size construction firms in malaysia.,1
What are proximate and ultimate analysis of fuel?,BT1,what are proximate and ultimate analysis of fuel?,0
Derive the torque equation of for DC motor.,BT4,derive the torque equation of for dc motor.,3
Assess the value of utilitarian theories in ethical decision-making.,BT5,assess the value of utilitarian theories in ethical decision-making.,4
What are the causes of an earthquakes.,BT1,what are the causes of an earthquakes.,0
"Imagine that you are a relative of an older adult who is initially diagnosed to be living with Parkinson's disease, suggest FOUR (4) strategies to further promote the wellbeing of the individual. ",BT6,"imagine that you are a relative of an older adult who is initially diagnosed to be living with parkinson's disease, suggest four (4) strategies to further promote the wellbeing of the individual.",5
Support your answers with ONE (1) example in everyday life for EACH perspective. ,BT5,support your answers with one (1) example in everyday life for each perspective.,4
Explain class template & function template with example.,BT1,explain class template & function template with example.,0
Can you break down the stages of human development?,BT4,can you break down the stages of human development?,3
Recognize subjectivity in a debate about the best form of artistic expression.,BT5,recognize subjectivity in a debate about the best form of artistic expression.,4
List out FIVE (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices. ,BT1,list out five (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices.,0
Analyse the continuous beam as shown in figure 8 by stiffness method.,BT4,analyse the continuous beam as shown in figure 8 by stiffness method.,3
"âInstead of focusing only on investing in local market, some investors also invest in foreign marketâ.  Justify above statement by providing FOUR (4) benefits of investing in foreign market. ",BT5,"âinstead of focusing only on investing in local market, some investors also invest in foreign marketâ.  justify above statement by providing four (4) benefits of investing in foreign market.",4
Explain the supercharging with neat sketch.,BT1,explain the supercharging with neat sketch.,0
Derive an expression for the inductance of three phase overhead transmission line when conductors are unsymmetrical spaced buttransposed.,BT4,derive an expression for the inductance of three phase overhead transmission line when conductors are unsymmetrical spaced buttransposed.,3
Show me how to properly execute a yoga pose.,BT1,show me how to properly execute a yoga pose.,0
"Compare the features and performance of different software version control systems (e.g., Git, SVN, Mercurial) in managing code repositories and facilitating collaboration.",BT4,"compare the features and performance of different software version control systems (e.g., git, svn, mercurial) in managing code repositories and facilitating collaboration.",3
The following observations were recorded during a test on 4 stroke single cylinder diesel engine.,BT3,the following observations were recorded during a test on 4 stroke single cylinder diesel engine.,2
List THREE applications of degenerate PCR amplification.,BT1,list three applications of degenerate pcr amplification.,0
What is gas chromatography?,BT1,what is gas chromatography?,0
How could old artistic mediums be combined to create contemporary mixed media art?,BT6,how could old artistic mediums be combined to create contemporary mixed media art?,5
Draw and explain frequency response characteristics of ideal and practical low pass filter.,BT2,draw and explain frequency response characteristics of ideal and practical low pass filter.,1
What is Piggybacking?,BT1,what is piggybacking?,0
Name three different types of renewable energy sources.,BT1,name three different types of renewable energy sources.,0
Explain any three lathe operations with sketch.,BT2,explain any three lathe operations with sketch.,1
Contrast the characteristics of introverts and extroverts.,BT2,contrast the characteristics of introverts and extroverts.,1
Your team is developing a communication protocol for an Internet of Things (IoT) device that requires secure data transmission over a wireless network. Analyze the differences between using MQTT (Message Queuing Telemetry Transport) and CoAP (Constrained Application Protocol) for IoT communication in terms of reliability and resource efficiency.,BT4,your team is developing a communication protocol for an internet of things (iot) device that requires secure data transmission over a wireless network. analyze the differences between using mqtt (message queuing telemetry transport) and coap (constrained application protocol) for iot communication in terms of reliability and resource efficiency.,3
Explain the underlying assumptions of the price-leadership model by using appropriate diagrams.,BT2,explain the underlying assumptions of the price-leadership model by using appropriate diagrams.,1
What solutions would you suggest for...?,BT6,what solutions would you suggest for...?,5
What is difference between starvation and deadlock?,BT4,what is difference between starvation and deadlock?,3
Analyze the data from user surveys to improve product usability.,BT4,analyze the data from user surveys to improve product usability.,3
Summarize the cultural impact of a historical event.,BT2,summarize the cultural impact of a historical event.,1
Can you break down the stages of the water cycle?,BT4,can you break down the stages of the water cycle?,3
Retell the steps to perform soil compaction testing using a Proctor compactor?,BT1,retell the steps to perform soil compaction testing using a proctor compactor?,0
Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,BT6,write a song about 'old macdonald' who had a bulldozer instead of a farm.,5
Judge the effectiveness of condition monitoring techniques in detecting incipient faults in rotating machinery.,BT5,judge the effectiveness of condition monitoring techniques in detecting incipient faults in rotating machinery.,4
Find the number of codes generated by the given check matric H.,BT3,find the number of codes generated by the given check matric h.,2
How would you create/design a new...?,BT6,how would you create/design a new...?,5
With the help of neat diagram explain working of IC 555 as a Astable Multivibrator.,BT1,with the help of neat diagram explain working of ic 555 as a astable multivibrator.,0
Show how E-CRM can be used to improve marketing positioning as explained in the article,BT3,show how e-crm can be used to improve marketing positioning as explained in the article,2
Grasp the meaning behind the author's use of symbolism in the novel.,BT2,grasp the meaning behind the author's use of symbolism in the novel.,1
Assess the value of classical economic theories in the modern era.,BT5,assess the value of classical economic theories in the modern era.,4
Translate your understanding of environmental science to analyze this ecological issue.,BT2,translate your understanding of environmental science to analyze this ecological issue.,1
Discuss briefly energy band in conductor and insulator.,BT1,discuss briefly energy band in conductor and insulator.,0
Give the applications of Two Port Network Parameters.,BT1,give the applications of two port network parameters.,0
Briefly describe the hierarchical classification of proteins using CATH classification. ,BT2,briefly describe the hierarchical classification of proteins using cath classification.,1
Define deadlock. Explain the methods for deadlock prevention.,BT1,define deadlock. explain the methods for deadlock prevention.,0
Convince investors to support a real estate project.,BT5,convince investors to support a real estate project.,4
Draw and explain magnetization curve for a ferromagnetic material and hence define with uints,BT1,draw and explain magnetization curve for a ferromagnetic material and hence define with uints,0
What is generic programming?,BT1,what is generic programming?,0
"Compare the scalability of different load balancing algorithms (e.g., round-robin, least connections, weighted round-robin) in distributing incoming traffic across server clusters.",BT4,"compare the scalability of different load balancing algorithms (e.g., round-robin, least connections, weighted round-robin) in distributing incoming traffic across server clusters.",3
Explain various types of conformation in ethane molecule using P.,BT4,explain various types of conformation in ethane molecule using p.,3
Examine the data to identify trends in consumer purchasing behavior.,BT3,examine the data to identify trends in consumer purchasing behavior.,2
Explain Closely Coupled and Loosly Coupled microprocessor systems.,BT2,explain closely coupled and loosly coupled microprocessor systems.,1
Consider the following processes arrival time and burst time are as shown.,BT3,consider the following processes arrival time and burst time are as shown.,2
Translate your understanding of sociology to analyze this social phenomenon.,BT2,translate your understanding of sociology to analyze this social phenomenon.,1
Reproduce the steps to perform a field density test on soil?,BT1,reproduce the steps to perform a field density test on soil?,0
Solve a hypothetical scenario involving a data breach in a financial institution and propose a comprehensive incident response plan.,BT3,solve a hypothetical scenario involving a data breach in a financial institution and propose a comprehensive incident response plan.,2
Determine the rate constant of a chemical reaction through experimental data.,BT3,determine the rate constant of a chemical reaction through experimental data.,2
